COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"PEOPLES REPUBLIC OF CHINA","PRC","66","483","184","3668","4401","101","195","1192","1488","5889"
"REPUBLIC OF PARAGUAY","PRY","0","1","0","0","1","0","0","0","0","1"
"STATE OF QATAR","QAT","0","2","0","0","2","0","0","0","0","2"
"REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG","RASC","0","2","0","0","2","0","0","0","0","2"
"REPUBLIC OF CHINA (TAIWAN)","ROC","0","18","0","0","18","0","0","0","0","18"
"ROMANIA","ROM","0","0","0","0","0","1","0","0","1","1"
"REPUBLIC OF PHILIPPINES","RP","0","3","0","0","3","1","0","0","1","4"
"REPUBLIC OF RWANDA","RWA","0","2","0","0","2","0","0","0","0","2"
"SOUTH AFRICA","SAFR","0","5","0","0","5","2","0","0","2","7"
"SAUDI ARABIA","SAUD","0","15","0","0","15","0","0","0","0","15"
"REPUBLIC OF SUDAN","SDN","0","1","0","0","1","0","0","0","0","1"
"SEA LAUNCH DEMO","SEAL","0","1","30","3","34","0","3","0","3","37"
"SOCIÉTÉ EUROPÉENNE DES SATELLITES","SES","0","61","0","0","61","1","0","0","1","62"
"SINGAPORE","SING","0","11","0","0","11","1","0","0","1","12"
"SOUTH KOREA","SKOR","0","26","1","0","27","5","0","0","5","32"
"SPAIN","SPN","0","32","0","0","32","4","0","0","4","36"
"SINGAPORE/TAIWAN","STCT","0","2","0","0","2","0","0","0","0","2"
"REPUBLIC OF SLOVENIA","SVN","0","2","0","0","2","0","0","0","0","2"
"SWEDEN","SWED","0","11","0","0","11","1","0","0","1","12"
"SWITZERLAND","SWTZ","0","14","0","0","14","0","0","0","0","14"
"TO BE DETERMINED/UNKNOWN","TBD","121","3","0","0","124","9","0","0","9","133"
"THAILAND","THAI","0","13","0","0","13","0","0","0","0","13"
"TURKMENISTAN/MONACO","TMMC","0","1","0","0","1","0","0","0","0","1"
"REPUBLIC OF TUNISIA","TUN","0","1","0","0","1","0","0","0","0","1"
"TURKEY","TURK","0","13","0","0","13","3","0","0","3","16"
"UNITED ARAB EMIRATES","UAE","0","15","0","0","15","0","0","0","0","15"
"UNITED KINGDOM","UK","0","306","1","1","308","13","0","4","17","325"
"UKRAINE","UKR","0","4","2","0","6","3","0","0","3","9"
"URUGUAY","URY","0","1","0","0","1","0","0","0","0","1"
"UNITED STATES OF AMERICA","US","17","3719","718","4408","8862","1252","721","4707","6680","15542"
"UNITED STATES/BRAZIL","USBZ","0","1","0","0","1","0","0","0","0","1"
"VENEZUELA","VENZ","0","3","0","0","3","0","0","0","0","3"
"VIETNAM","VTNM","0","3","0","0","3","2","0","0","2","5"
"ALL","ALL","207","7672","2256","13382","23517","3661","3999","17894","25554","49071"
